"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"g__Coriandrum",0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
"g__Daucus",0,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0
"g__Petroselinum",0,0,0,0,0,0,0,0,88,0,0,0,26,0,0,0,0,0,0,0,424,0,0,0,0
"g__Pimpinella",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Lactuca",0,0,0,403,0,0,1268,0,1386,285,0,0,0,1817,0,0,0,0,7797,0,1098,0,0,0,0
"g__Brassica",0,0,177,0,0,0,0,0,509,0,0,274,0,0,12330,0,0,0,4934,608,1435,0,0,131,62
"g__Eruca",0,0,0,0,0,0,0,0,0,0,0,1343,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Raphanus",0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Sinapis",0,0,150,0,0,0,0,0,398,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,208
"g__Bassia",0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0
"g__Beta",0,0,0,0,0,0,0,0,816,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Salsola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"g__Spinacia",0,0,713,0,54,51,0,0,15335,0,0,0,0,0,248,0,0,0,0,66,1184,0,0,220,0
"g__Cucumis",0,0,0,3319,0,0,0,0,2562,0,0,0,0,1366,0,0,0,0,0,0,2157,0,0,0,0
"g__Cucurbita",409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Cucurbitaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,557,0,0,0,0
"g__Vaccinium",0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Glycine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0
"g__Phaseolus",0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
"g__Carya",0,0,0,0,0,0,0,0,0,7209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Juglans",0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Melissa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0
"g__Sesamum",0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Punica",0,0,0,0,0,0,0,0,0,0,2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Rubus",0,0,0,0,1163,0,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Ulmus",0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Anacardium",0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Citrus",0,0,183,0,0,0,651,0,0,0,0,1744,0,275,0,0,0,0,0,0,0,0,0,0,0
"g__Convolvulus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0
"g__Capsicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0
"g__Solanaceae_gen_Incertae_sedis",0,0,0,751,0,0,0,0,964,0,0,158,0,0,0,0,0,1581,0,0,0,0,0,96,0
"g__Solanum",0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Monocotyledonae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"g__Aegilops",0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
"g__Bambusa",0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Cenchrus",0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
"g__Triticum",0,0,61,1326,0,33,0,0,69,0,0,0,0,0,15,0,0,64,0,0,103,0,258,0,0
"g__Zea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0
"g__Musa",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Choricystis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
"g__Prototheca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"g__Trebouxia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0
"Unknown",147,0,0,0,0,0,0,0,0,0,0,2012,22,0,0,0,0,0,0,0,0,0,0,0,0
