query_id,query_reads_count,subject_id,%_identity,alignment_length,mismatches,gap_opens,query_length,q_start,q_end,subject_length,s_start,s_end,evalue,bit_score
SRR5098332,7860,ITS86F_2_fwd,100.0,21.0,0.0,0.0,100.0,35.0,55.0,21.0,1.0,21.0,1.08e-07,39.2
SRR5098332,7860,fITS7_2_fwd,94.737,19.0,1.0,0.0,100.0,35.0,53.0,19.0,1.0,19.0,1.6e-05,32.8
SRR5098332,7860,gITS7_2_fwd,89.474,19.0,2.0,0.0,100.0,35.0,53.0,19.0,1.0,19.0,5.57e-05,30.1
SRR5098333,13654,ITS86F_2_fwd,100.0,21.0,0.0,0.0,100.0,35.0,55.0,21.0,1.0,21.0,1.08e-07,39.2
SRR5098333,13654,fITS7_2_fwd,94.737,19.0,1.0,0.0,100.0,35.0,53.0,19.0,1.0,19.0,1.6e-05,32.8
SRR5098333,13654,gITS7_2_fwd,89.474,19.0,2.0,0.0,100.0,35.0,53.0,19.0,1.0,19.0,5.57e-05,30.1
SRR5098339,5085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRR5098340,2579,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRR5098341,222507,ITS86F_2_fwd,100.0,21.0,0.0,0.0,100.0,35.0,55.0,21.0,1.0,21.0,1.08e-07,39.2
SRR5098341,222507,fITS7_2_fwd,94.737,19.0,1.0,0.0,100.0,35.0,53.0,19.0,1.0,19.0,1.6e-05,32.8
SRR5098341,222507,gITS7_2_fwd,89.474,19.0,2.0,0.0,100.0,35.0,53.0,19.0,1.0,19.0,5.57e-05,30.1
SRR5098343,51887,ITS86F_2_fwd,100.0,21.0,0.0,0.0,68.0,35.0,55.0,21.0,1.0,21.0,6.94e-08,39.2
SRR5098343,51887,fITS7_2_fwd,94.737,19.0,1.0,0.0,68.0,35.0,53.0,19.0,1.0,19.0,1.03e-05,32.8
SRR5098343,51887,gITS7_2_fwd,89.474,19.0,2.0,0.0,68.0,35.0,53.0,19.0,1.0,19.0,3.59e-05,30.1
